 
SET: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                           
SET: rps=1725.1 (overall: 1725.1) avg_msec=5.684 (overall: 5.684)
                                                                  
SET: rps=504.0 (overall: 1115.8) avg_msec=19.229 (overall: 8.737)
                                                                  
SET: rps=418.3 (overall: 883.0) avg_msec=23.834 (overall: 11.124)
                                                                  
SET: rps=382.5 (overall: 757.7) avg_msec=25.995 (overall: 13.003)
                                                                  
SET: rps=392.0 (overall: 684.8) avg_msec=24.935 (overall: 14.366)
                                                                  
SET: rps=266.9 (overall: 615.0) avg_msec=36.631 (overall: 15.978)
                                                                  
SET: rps=247.0 (overall: 562.4) avg_msec=40.151 (overall: 17.497)
                                                                  
SET: rps=231.1 (overall: 520.9) avg_msec=44.448 (overall: 18.993)
                                                                  
SET: rps=230.2 (overall: 488.5) avg_msec=42.351 (overall: 20.221)
                                                                  
SET: rps=191.2 (overall: 458.7) avg_msec=51.603 (overall: 21.530)
                                                                  
SET: rps=244.0 (overall: 439.3) avg_msec=42.096 (overall: 22.565)
                                                                  
SET: rps=235.1 (overall: 422.3) avg_msec=42.829 (overall: 23.505)
                                                                  
SET: rps=216.0 (overall: 406.4) avg_msec=43.741 (overall: 24.330)
                                                                  
SET: rps=182.5 (overall: 390.4) avg_msec=55.693 (overall: 25.382)
                                                                  
SET: rps=183.3 (overall: 376.6) avg_msec=54.079 (overall: 26.314)
                                                                  
SET: rps=152.0 (overall: 362.6) avg_msec=65.101 (overall: 27.327)
                                                                  
SET: rps=171.3 (overall: 351.3) avg_msec=60.507 (overall: 28.279)
                                                                  
SET: rps=180.0 (overall: 341.8) avg_msec=54.923 (overall: 29.056)
                                                                  
SET: rps=251.0 (overall: 337.0) avg_msec=40.131 (overall: 29.491)
                                                                  
SET: rps=183.3 (overall: 329.3) avg_msec=51.537 (overall: 30.105)
                                                                  
SET: rps=171.3 (overall: 321.8) avg_msec=58.672 (overall: 30.829)
                                                                  
SET: rps=131.5 (overall: 313.2) avg_msec=74.592 (overall: 31.665)
                                                                  
SET: rps=187.3 (overall: 307.7) avg_msec=56.800 (overall: 32.331)
                                                                  
SET: rps=175.3 (overall: 302.2) avg_msec=56.486 (overall: 32.915)
                                                                  
SET: rps=187.3 (overall: 297.6) avg_msec=53.855 (overall: 33.442)
                                                                  
SET: rps=171.3 (overall: 292.7) avg_msec=56.320 (overall: 33.958)
                                                                  
SET: rps=160.0 (overall: 287.8) avg_msec=63.222 (overall: 34.558)
                                                                  
SET: rps=167.3 (overall: 283.5) avg_msec=57.866 (overall: 35.050)
                                                                  
SET: rps=155.4 (overall: 279.1) avg_msec=66.880 (overall: 35.662)
                                                                  
SET: rps=123.5 (overall: 273.9) avg_msec=81.464 (overall: 36.351)
                                                                  
SET: rps=696.0 (overall: 287.5) avg_msec=15.954 (overall: 34.763)
                                                                  
SET: rps=1151.4 (overall: 314.5) avg_msec=8.534 (overall: 31.759)
                                                                  
SET: rps=625.5 (overall: 323.9) avg_msec=15.752 (overall: 30.822)
                                                                  
SET: rps=458.2 (overall: 327.9) avg_msec=21.301 (overall: 30.430)
                                                                  
SET: rps=374.5 (overall: 329.2) avg_msec=26.963 (overall: 30.318)
                                                                  
SET: rps=366.5 (overall: 330.2) avg_msec=26.577 (overall: 30.202)
                                                                  
SET: rps=318.7 (overall: 329.9) avg_msec=31.149 (overall: 30.227)
                                                                  
SET: rps=243.0 (overall: 327.6) avg_msec=39.781 (overall: 30.414)
                                                                  
SET: rps=274.9 (overall: 326.3) avg_msec=38.060 (overall: 30.579)
                                                                  
SET: rps=255.0 (overall: 324.5) avg_msec=38.819 (overall: 30.741)
                                                                  
SET: rps=215.1 (overall: 321.8) avg_msec=45.307 (overall: 30.978)
                                                                  
SET: rps=199.2 (overall: 318.9) avg_msec=50.069 (overall: 31.263)
                                                                  
SET: rps=184.0 (overall: 315.8) avg_msec=53.764 (overall: 31.566)
                                                                  
SET: rps=170.6 (overall: 312.5) avg_msec=57.423 (overall: 31.889)
                                                                  
SET: rps=168.0 (overall: 309.3) avg_msec=60.362 (overall: 32.231)
                                                                  
SET: rps=174.6 (overall: 306.3) avg_msec=57.056 (overall: 32.540)
                                                                  
SET: rps=151.4 (overall: 303.0) avg_msec=65.829 (overall: 32.894)
                                                                  
SET: rps=147.4 (overall: 299.8) avg_msec=66.075 (overall: 33.234)
                                                                  
SET: rps=204.0 (overall: 297.8) avg_msec=51.541 (overall: 33.490)
                                                                  
SET: rps=210.3 (overall: 296.1) avg_msec=47.433 (overall: 33.688)
                                                                  
SET: rps=184.0 (overall: 293.9) avg_msec=54.262 (overall: 33.940)
                                                                  
SET: rps=183.3 (overall: 291.8) avg_msec=52.164 (overall: 34.160)
                                                                  
SET: rps=151.4 (overall: 289.1) avg_msec=68.091 (overall: 34.496)
                                                                  
SET: rps=128.0 (overall: 286.1) avg_msec=73.365 (overall: 34.817)
                                                                  
SET: rps=123.0 (overall: 283.2) avg_msec=82.158 (overall: 35.192)
                                                                  
SET: rps=119.5 (overall: 280.2) avg_msec=83.170 (overall: 35.558)
                                                                  
SET: rps=115.5 (overall: 277.3) avg_msec=84.640 (overall: 35.917)
                                                                  
SET: rps=115.5 (overall: 274.6) avg_msec=86.675 (overall: 36.285)
                                                                  
